Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1984,0.18068632,-11.926538,-19.822424,2.0528324,-4.6845684,-0.22963157,11.455892,-12.234118,-1.66244,7.8873286,3.145519,1.9614711
1985,1.1485367,-2.519894,4.9448752,-10.503439,-4.8485,0.71438813,-8.275179,0.16394477,3.5356016,-9.36675,-5.8123474,-7.671478
1986,-2.161863,-7.9276524,-5.8817496,7.520842,-2.3626027,-1.0922221,3.2055461,0.71266717,10.318845,7.255524,7.4330845,2.6808696
1987,13.915576,10.540066,1.0129861,-7.5579867,9.915708,-10.583113,1.9414628,3.6921022,5.01295,-0.33722958,4.1655903,15.358648
1988,7.4126234,11.471824,1.5150652,0.20106,8.769134,10.082736,1.6843437,16.100885,12.312449,6.100694,2.9436822,12.217947
1989,0.8269764,4.5683184,-1.3702934,2.4001126,2.5576973,14.100708,-4.3994417,-1.0013884,-0.071965754,4.463685,-2.7810278,-3.1539717
1990,-1.1116058,0.26661083,-2.8951046,-4.5088573,10.3801,-11.183853,-17.527369,4.011127,-12.362908,-6.6068783,-3.0682893,-6.1324835
1991,-17.374891,-8.065224,4.3476043,-6.033227,-30.318787,-5.5472765,1.5849789,-10.686976,-4.3525367,5.741502,-4.8387575,-6.058237
1992,-9.827445,-14.160292,-0.5292384,-6.8875914,-17.24775,-5.2570853,-28.677732,-23.435202,-9.118207,-2.6238024,-3.9811609,4.1020064
1993,8.519068,-3.4881,-11.334967,-6.815485,-6.711269,-11.040554,11.172651,11.897927,-0.1750254,0.872656,3.2095873,20.448141
1994,18.571285,17.976591,16.380379,9.348839,14.322481,8.517619,20.796688,13.304188,20.661242,6.1415415,7.4376907,4.264556
1995,6.338451,5.244665,15.955499,5.1343126,11.937684,5.807305,24.688816,14.031054,11.560833,2.554508,0.11378017,-8.811847
1996,8.796543,7.6834054,2.561305,4.427669,-0.75635976,-5.5392933,-9.450141,-10.525167,-1.9768918,-2.8058403,0.64517194,-3.3940115
1997,-1.0908599,5.497336,7.453239,6.2077246,-3.2332807,0.645333,-4.8348026,-3.0293643,8.017019,-1.5053797,0.96258324,5.7923765
1998,1.5496227,4.0717463,-6.583209,-3.0121605,-9.067722,-6.577515,-8.474421,1.0995803,-9.864551,-1.141748,-13.642106,5.3901477
1999,-6.446164,2.1635606,2.4545045,-14.985344,-13.987078,-9.593987,-8.138936,-5.2875485,-2.7721288,1.6909382,-10.983472,1.2345037
2000,-5.2011266,-16.254007,4.9358783,-8.69571,3.2880657,-0.4423853,6.903553,-8.643177,-0.49427068,-15.544936,-0.32799944,0.4076999
2001,6.574723,9.409076,-14.018623,-17.567924,-13.648822,-6.5858974,-3.2982345,-15.87202,2.09756,-8.284735,0.6497782,-5.3276653
2002,-12.95776,-7.7733645,-4.166845,15.035896,-3.518625,2.6846552,-26.176197,-8.648281,4.3111854,-5.5288596,3.1882312,5.34942
2003,11.124109,3.3674467,3.7146358,16.580534,4.6472306,-4.047223,4.910112,1.0628287,13.897173,9.360948,-7.1242867,3.8511539
2004,-3.8111563,5.8368797,-0.79101604,-11.565158,-0.81399554,2.2435803,4.547994,5.07182,6.3043113,1.9044997,5.7522283,10.287537
2005,8.539526,0.8078526,5.5093513,5.952429,-3.7704272,-19.428556,-1.7877879,-5.554508,2.7302983,6.1961527,6.078015,10.697334
2006,-19.342575,-19.795235,-1.5812827,7.09366,-18.737776,-3.1766493,-8.180936,-9.238859,0.39443913,5.737062,-8.757824,-6.113742
2007,-8.8742895,-18.34142,-7.578661,-11.118098,13.529281,22.128668,21.352926,37.191223,26.733133,26.478273,28.663214,19.536278
2008,12.21874,15.0327835,5.1944633,1.9651352,9.591624,0.30564556,31.160326,11.76215,6.5545306,4.06409,-2.3518107,15.152127
2009,10.330582,10.70559,8.935968,-6.883304,-24.712055,-5.7268996,0.5252592,-16.238005,2.5097985,3.6636066,-1.8673187,10.601463
2010,3.4026282,-0.7747658,7.016169,5.042328,-13.561423,-15.455292,-17.123762,-13.326969,-8.770201,-17.613508,-9.73602,-11.162506
2011,-4.973787,-19.843193,-17.469038,-22.880419,-15.883388,5.619698,-5.228164,-4.3575277,-0.43531096,5.1598687,8.698124,10.069843
2012,6.8694863,-6.300091,-0.5826387,-4.460916,8.856532,18.404879,15.069388,19.069601,14.476704,12.210949,15.1899805,15.631846
2013,16.11665,10.638174,0.27292728,3.7011476,14.680579,7.385195,7.474644,9.316124,3.4521952,6.450562,1.507375,6.8920183
2014,-8.10727,-8.236503,-7.531065,-11.76082,-12.753578,-5.0199823,0.28965208,-2.9670906,1.7687277,6.164185,-4.7060146,-2.8364415
